Technique,MAE (BRL),RMSE (BRL),R2
Random Forest Regressor,22.54396893058473,53.09153068953638,0.7753093018276964
Gradient Boosting Regressor,52.893311532892795,87.29159620086455,0.39259345080385377
Linear Regression Baseline,57.856279617201444,92.84809039187931,0.3128041117166691
